Amulet: 	.8408, .0507, .8858, 	.8683, .0589, .8941, 	.7574, .0997, .8183, 	.7409, .1442, .7545, 	.6776, .0846, .8040, 	.6472, .0976, .7805, 	
BASNet: 	.8955, .0322, .9089, 	.8796, .0370, .9162, 	.7710, .0758, .8380, 	.7436, .1124, .7720, 	.7913, .0476, .8657, 	.7556, .0565, .8362, 	
CAGNet: 	.9049, .0333, .8969, 	.9145, .0424, .8975, 	.8193, .0756, .8274, 	  -  ,   -  ,   -  , 	.8217, .0445, .8519, 	.7437, .0571, .8070, 	
DSS: 	.9023, .0401, .8783, 	.9044, .0517, .8821, 	.8014, .0934, .7985, 	.7857, .1222, .7464, 	  -  ,   -  ,   -  , 	.7400, .0628, .7900, 	
GCPANet: 	.8985, .0309, .9204, 	.9193, .0348, .9267, 	.8266, .0623, .8644, 	.8195, .0876, .8083, 	.8170, .0380, .8907, 	.7478, .0563, .8388, 	
MINet: 	.9086, .0285, .9188, 	.9244, .0335, .9249, 	.8293, .0636, .8563, 	  -  ,   -  ,   -  , 	.8281, .0372, .8840, 	.7555, .0555, .8329, 	
Ours: 	.9083, .0293, .9166, 	.9228, .0332, .9249, 	.8281, .0623, .8619, 	.8263, .0993, .7967, 	.8318, .0375, .8825, 	.7647, .0530, .8356, 	
PAGRN: 	.8862, .0475, .8872, 	.8940, .0610, .8891, 	.7985, .0894, .8217, 	.7698, .1447, .7203, 	.7836, .0555, .8385, 	.7114, .0709, .7751, 	
PiCANet: 	.8704, .0433, .9044, 	.8864, .0464, .9170, 	.7918, .0756, .8539, 	.7847, .1029, .7932, 	.7590, .0506, .8688, 	.7173, .0653, .8319, 	
PoolNet: 	.9029, .0300, .9187, 	.9185, .0350, .9263, 	.8256, .0649, .8647, 	.8271, .1034, .7920, 	.8191, .0368, .8866, 	.7518, .0539, .8312, 	
SAMNet: 	.8707, .0449, .8983, 	.8913, .0501, .9071, 	.7782, .0916, .8256, 	.7802, .1235, .7621, 	.7449, .0578, .8489, 	.7170, .0652, .8299, 	
